SEURAT,SC3
24,4
24,8
24,8
24,4
33,20
34,15
24,4
6,10
29,25
26,6
24,8
24,4
5,23
37,17
24,8
21,22
24,8
24,8
24,8
32,27
24,8
24,8
24,8
24,8
26,6
16,24
24,8
24,8
26,6
24,8
24,1
24,4
24,8
24,8
24,8
24,8
24,8
24,4
24,4
24,8
24,8
11,11
24,8
24,8
24,8
24,8
26,6
24,4
24,8
24,8
24,4
24,4
24,8
24,8
30,29
24,8
33,20
24,8
24,8
24,8
24,4
22,4
10,23
26,6
24,4
24,8
24,8
22,18
24,4
24,8
24,4
24,8
24,8
3,5
24,8
24,8
25,13
24,8
24,8
24,4
24,8
24,8
26,6
24,8
24,8
16,24
29,21
25,13
24,4
27,21
24,4
24,4
24,8
24,8
24,4
24,4
24,8
24,8
11,11
21,22
24,4
24,8
24,8
16,24
29,35
26,6
24,8
25,13
24,8
24,4
25,13
34,26
26,6
24,8
24,8
24,8
24,8
24,4
24,4
24,8
24,8
24,8
24,4
24,8
24,8
12,11
29,25
24,8
24,4
24,8
34,26
24,4
24,8
24,8
24,4
24,8
11,11
24,8
9,19
6,10
9,19
25,13
21,22
24,8
6,10
24,4
24,8
24,8
24,8
17,7
25,13
27,21
30,29
24,8
20,16
24,4
24,8
26,6
24,8
24,4
24,8
24,8
24,8
34,15
24,8
24,8
34,15
24,8
24,8
24,8
34,15
24,4
24,4
24,8
24,4
34,26
24,4
24,8
27,21
26,6
25,13
24,8
24,8
24,4
24,15
24,4
26,6
7,10
38,30
24,8
24,8
26,6
10,23
17,7
19,17
24,8
15,18
25,13
21,22
24,4
24,8
19,17
11,23
34,15
24,4
9,19
24,8
24,4
24,8
31,2
24,4
24,4
24,4
2,31
26,6
29,25
24,8
24,8
24,4
26,6
34,26
34,15
16,24
23,9
24,4
26,6
26,6
24,8
31,2
33,20
24,8
24,8
24,4
29,25
24,4
24,8
27,21
37,17
25,13
24,8
33,20
34,26
24,8
24,8
24,8
