ARI,Dataset,Fraction
0.9494032,Klein,10
0.9390533,Klein,10
0.938421,Klein,10
0.937004,Klein,10
0.952024,Klein,10
0.9072456,Klein,10
0.9145387,Klein,10
0.9345055,Klein,10
0.9460536,Klein,10
0.9681927,Klein,10
0.9431819,Klein,10
0.9374388,Klein,10
0.937395,Klein,10
0.9664792,Klein,10
0.9656914,Klein,10
0.9532217,Klein,10
0.9508556,Klein,10
0.9526366,Klein,10
0.9578365,Klein,10
0.942815,Klein,10
0.9576419,Klein,10
0.9487161,Klein,10
0.8313253,Klein,2
0.7735081,Klein,2
0.7161021,Klein,2
0.8480882,Klein,2
0.7981266,Klein,2
0.8041517,Klein,2
0.7757497,Klein,2
0.8271062,Klein,2
0.782005,Klein,2
0.806728,Klein,2
0.7875072,Klein,2
0.7623128,Klein,2
0.8086218,Klein,2
0.7617798,Klein,2
0.7752667,Klein,2
0.8447827,Klein,2
0.793375,Klein,2
0.8088227,Klein,2
0.774347,Klein,2
0.7752817,Klein,2
0.7806949,Klein,2
0.7453224,Klein,2
0.8204673,Klein,2
0.7325127,Klein,2
0.79403,Klein,2
0.703492,Klein,2
0.8346744,Klein,2
0.8343434,Klein,2
0.7727148,Klein,2
0.7675642,Klein,2
0.8291135,Klein,2
0.7117021,Klein,2
0.8115171,Klein,2
0.7568668,Klein,2
0.7286476,Klein,2
0.7815884,Klein,2
0.7764569,Klein,2
0.7916935,Klein,2
0.7850486,Klein,2
0.6897608,Klein,2
0.7724989,Klein,2
0.8129004,Klein,2
0.7638883,Klein,2
0.7734296,Klein,2
0.7710729,Klein,2
0.6190967,Klein,2
0.7595283,Klein,2
0.7411375,Klein,2
0.7396443,Klein,2
0.8195822,Klein,2
0.7863318,Klein,2
0.7939105,Klein,2
0.8509595,Klein,2
0.7719793,Klein,2
0.8036991,Klein,2
0.8193203,Klein,2
0.8123037,Klein,2
0.7786957,Klein,2
0.8095258,Klein,2
0.8120987,Klein,2
0.7540267,Klein,2
0.7845935,Klein,2
0.7802289,Klein,2
0.8175749,Klein,2
0.7465755,Klein,2
0.7901721,Klein,2
0.8081085,Klein,2
0.852836,Klein,2
0.7993316,Klein,2
0.7385559,Klein,2
0.826613,Klein,2
0.8515452,Klein,2
0.7541303,Klein,2
0.7500909,Klein,2
0.8515734,Klein,2
0.8454215,Klein,2
0.8111022,Klein,2
0.8789804,Klein,2
0.8397494,Klein,2
0.8038657,Klein,2
0.7479948,Klein,2
0.7458706,Klein,2
0.8653806,Klein,2
0.73441,Klein,2
0.7791289,Klein,2
0.7074133,Klein,2
0.8721484,Klein,2
0.841572,Klein,2
0.7675907,Klein,2
0.8175949,Klein,2
0.7668149,Klein,2
0.7988086,Klein,2
0.8076499,Klein,2
0.8241379,Klein,2
0.8309555,Klein,2
0.7471618,Klein,2
0.7529111,Klein,2
0.817381,Klein,2
0.7399126,Klein,2
0.8633347,Klein,2
0.97287,Klein,20
0.9704688,Klein,20
0.9735375,Klein,20
0.9777234,Klein,20
0.9730626,Klein,20
0.9654177,Klein,20
0.9775148,Klein,20
0.9658127,Klein,20
0.9736078,Klein,20
0.9752331,Klein,20
0.9810442,Klein,20
0.9750909,Klein,20
0.9643005,Klein,20
0.97655,Klein,20
0.9635045,Klein,20
0.9687021,Klein,20
0.9688813,Klein,20
0.9643026,Klein,20
0.969107,Klein,20
0.9708397,Klein,20
0.9749019,Klein,20
0.9796222,Klein,20
0.9767138,Klein,20
0.9713304,Klein,20
0.9748565,Klein,20
0.9765919,Klein,20
0.9740889,Klein,20
0.9827836,Klein,20
0.9651344,Klein,20
0.977735,Klein,20
0.9687091,Klein,20
0.9859127,Klein,20
0.9698796,Klein,20
0.971209,Klein,20
0.9654633,Klein,20
0.9738632,Klein,20
0.9832919,Klein,20
0.9788663,Klein,20
0.9716923,Klein,20
0.9703787,Klein,20
0.9670964,Klein,20
0.9724871,Klein,20
0.9749175,Klein,20
0.9820475,Klein,20
0.9757395,Klein,20
0.969563,Klein,20
0.9696478,Klein,20
0.9704767,Klein,20
0.9666943,Klein,20
0.9759542,Klein,20
0.9706408,Klein,20
0.9774119,Klein,20
0.9808618,Klein,20
0.9731591,Klein,20
0.9712235,Klein,20
0.9770413,Klein,20
0.978975,Klein,20
0.9634406,Klein,20
0.9683878,Klein,20
0.9793665,Klein,20
0.9789794,Klein,20
0.9718941,Klein,20
0.9717727,Klein,20
0.9729557,Klein,20
0.9714441,Klein,20
0.9750395,Klein,20
0.9785642,Klein,20
0.9732822,Klein,20
0.9833825,Klein,20
0.9766602,Klein,20
0.9755373,Klein,20
0.9704327,Klein,20
0.9589269,Klein,20
